gender,age,job,marital,province,city,prefer,frequency,wineFrequency,side,choice1,seq,area_grade,choice2,choice1_당도,choice1_알콜 농도,choice1_과일향,choice1_오크향,choice1_깊이,choice1_견고함,choice2_당도,choice2_알콜 농도,choice2_과일향,choice2_오크향,choice2_깊이,choice2_견고함
FEMALE,30대,임시직,MARREID,충청도,청주시,당도,4,1,Cheddar,F,71,1급지,D,M,H,M,M,M,H,H,H,H,M,L,L
MALE,30대,자영업,MARREID,충청도,홍성군,당도,4,2,Camenbert,D,72,5급지,D,H,H,H,M,L,L,H,H,H,M,L,L
FEMALE,50대,자영업,MARREID,충청도,천안시,깊이감,2,1,Ricotta,H,73,4급지,F,M,H,M,M,H,H,M,H,M,M,M,H
MALE,40대,벤처직원,MARREID,서울시,마포구,깊이감,3,1,Camenbert,D,74,4급지,F,H,H,H,M,L,L,M,H,M,M,M,H
MALE,30대,벤처직원,MARREID,서울시,강동구,당도,3,2,Camenbert,G,75,2급지,D,L,H,H,H,M,M,H,H,H,M,L,L
FEMALE,30대,중소기업직원,SINGLE,충청도,홍성군,깊이감,3,1,Annon,E,76,5급지,E,H,H,M,M,M,L,H,H,M,M,M,L
FEMALE,30대,자영업,MARREID,부산시,해운대구,깊이감,1,1,Cheddar,D,77,1급지,E,H,H,H,M,L,L,H,H,M,M,M,L
FEMALE,40대,교수,MARREID,경기도,포천시,당도,4,3,Gorgonzola,F,78,2급지,B,M,H,M,M,M,H,H,L,H,M,L,M
FEMALE,40대,공무원,MARREID,전라도,구례군,깊이감,2,1,Valencay,H,79,6급지,D,M,H,M,M,H,H,H,H,H,M,L,L
MALE,50대,회사직원,MARREID,부산시,해운대구,깊이감,2,1,Camenbert,A,80,1급지,H,M,H,M,H,H,H,M,H,M,M,H,H
MALE,50대,연구원,MARREID,부산시,사하구,깊이감,2,1,Gorgonzola,A,81,2급지,G,M,H,M,H,H,H,L,H,H,H,M,M
FEMALE,40대,회사직원,SINGLE,경기도,평택시,깊이감,3,2,Gorgonzola,D,82,3급지,B,H,H,H,M,L,L,H,L,H,M,L,M
FEMALE,40대,자영업,SINGLE,서울시,강동구,깊이감,2,1,Annon,B,83,2급지,E,H,L,H,M,L,M,H,H,M,M,M,L
MALE,50대,중소기업직원,MARREID,서울시,강북구,당도,1,1,Camenbert,H,84,3급지,A,M,H,M,M,H,H,M,H,M,H,H,H
MALE,30대,공무원,SINGLE,경상도,포항시 북구,당도,2,1,Valencay,C,85,3급지,A,H,L,H,M,M,M,M,H,M,H,H,H
FEMALE,20대,임시직,MARREID,경상도,거제시,당도,1,1,Valencay,D,86,5급지,A,H,H,H,M,L,L,M,H,M,H,H,H
FEMALE,40대,변호사,MARREID,부산시,해운대구,깊이감,3,2,Brie,C,87,1급지,B,H,L,H,M,M,M,H,L,H,M,L,M
MALE,30대,중소기업직원,MARREID,충청도,홍성군,깊이감,2,1,Annon,E,88,5급지,D,H,H,M,M,M,L,H,H,H,M,L,L
FEMALE,30대,공무원,SINGLE,부산시,연제구,당도,2,1,Ricotta,E,89,4급지,C,H,H,M,M,M,L,H,L,H,M,M,M
FEMALE,30대,변호사,MARREID,서울시,강북구,당도,2,1,Ricotta,B,90,3급지,B,H,L,H,M,L,M,H,L,H,M,L,M
FEMALE,50대,자영업,SINGLE,경기도,포천시,당도,2,1,Ricotta,D,91,2급지,C,H,H,H,M,L,L,H,L,H,M,M,M
MALE,30대,중소기업직원,MARREID,부산시,기장군,깊이감,2,1,Valencay,B,92,1급지,F,H,L,H,M,L,M,M,H,M,M,M,H
MALE,30대,의사,SINGLE,충청도,홍성군,당도,1,1,Cheddar,F,93,5급지,G,M,H,M,M,M,H,L,H,H,H,M,M
MALE,50대,임시직,MARREID,충청도,청주시,당도,1,1,Camenbert,E,94,1급지,E,H,H,M,M,M,L,H,H,M,M,M,L
FEMALE,20대,학생,SINGLE,전라도,광양시,당도,1,1,Gorgonzola,B,95,4급지,C,H,L,H,M,L,M,H,L,H,M,M,M
MALE,20대,학생,MARREID,경상도,함안군,당도,5,1,Gorgonzola,E,96,5급지,D,H,H,M,M,M,L,H,H,H,M,L,L
MALE,30대,자영업,MARREID,부산시,기장군,깊이감,2,1,Camenbert,D,97,1급지,H,H,H,H,M,L,L,M,H,M,M,H,H
FEMALE,40대,중소기업직원,SINGLE,서울시,강동구,깊이감,3,2,Brie,D,98,2급지,F,H,H,H,M,L,L,M,H,M,M,M,H
FEMALE,30대,임시직,MARREID,경상도,포항시 남구,당도,3,2,Roquefort,B,99,2급지,D,H,L,H,M,L,M,H,H,H,M,L,L
MALE,50대,임시직,SINGLE,부산시,해운대구,당도,2,1,Roquefort,B,100,1급지,C,H,L,H,M,L,M,H,L,H,M,M,M
FEMALE,40대,공무원,MARREID,전라도,광양시,깊이감,2,1,Annon,B,101,4급지,D,H,L,H,M,L,M,H,H,H,M,L,L
MALE,40대,의사,MARREID,경상도,포항시 남구,당도,2,1,Annon,F,102,2급지,H,M,H,M,M,M,H,M,H,M,M,H,H
MALE,30대,변호사,MARREID,충청도,청주시,당도,1,1,Annon,E,103,1급지,E,H,H,M,M,M,L,H,H,M,M,M,L
FEMALE,50대,중소기업직원,MARREID,경기도,포천시,깊이감,1,1,Brie,D,104,2급지,E,H,H,H,M,L,L,H,H,M,M,M,L
MALE,30대,벤처직원,MARREID,부산시,사하구,당도,3,1,Camenbert,F,105,2급지,E,M,H,M,M,M,H,H,H,M,M,M,L
MALE,40대,교수,MARREID,부산시,해운대구,당도,1,1,Annon,B,106,1급지,F,H,L,H,M,L,M,M,H,M,M,M,H
MALE,20대,벤처직원,MARREID,경기도,화성시,당도,3,1,Ricotta,B,107,2급지,A,H,L,H,M,L,M,M,H,M,H,H,H
MALE,30대,의사,SINGLE,충청도,청주시,당도,3,2,Valencay,H,108,1급지,G,M,H,M,M,H,H,L,H,H,H,M,M
FEMALE,20대,공무원,MARREID,서울시,강남구,당도,1,1,Brie,B,109,1급지,C,H,L,H,M,L,M,H,L,H,M,M,M
MALE,30대,의사,MARREID,부산시,해운대구,깊이감,1,1,Annon,E,110,1급지,E,H,H,M,M,M,L,H,H,M,M,M,L
MALE,30대,자영업,MARREID,전라도,곡성군,깊이감,4,1,Annon,C,111,6급지,A,H,L,H,M,M,M,M,H,M,H,H,H
MALE,30대,임시직,MARREID,서울시,양천구,깊이감,5,3,Ricotta,E,112,1급지,H,H,H,M,M,M,L,M,H,M,M,H,H
MALE,40대,의사,SINGLE,충청도,청주시,당도,2,1,Camenbert,G,113,1급지,G,L,H,H,H,M,M,L,H,H,H,M,M
FEMALE,50대,연구원,MARREID,부산시,사하구,깊이감,3,1,Valencay,B,114,2급지,B,H,L,H,M,L,M,H,L,H,M,L,M
MALE,40대,교수,MARREID,충청도,홍성군,당도,4,1,Cheddar,F,115,5급지,C,M,H,M,M,M,H,H,L,H,M,M,M
FEMALE,30대,회사직원,MARREID,부산시,사하구,당도,1,1,Camenbert,D,116,2급지,B,H,H,H,M,L,L,H,L,H,M,L,M
FEMALE,20대,자영업,MARREID,부산시,사하구,깊이감,2,1,Annon,H,117,2급지,D,M,H,M,M,H,H,H,H,H,M,L,L
FEMALE,50대,회사직원,MARREID,서울시,강남구,깊이감,1,1,Roquefort,B,118,1급지,D,H,L,H,M,L,M,H,H,H,M,L,L
FEMALE,20대,벤처직원,MARREID,경기도,화성시,당도,4,2,Cheddar,B,119,2급지,C,H,L,H,M,L,M,H,L,H,M,M,M
FEMALE,40대,자영업,MARREID,부산시,해운대구,깊이감,5,1,Valencay,A,120,1급지,C,M,H,M,H,H,H,H,L,H,M,M,M
MALE,50대,임시직,SINGLE,경상도,함안군,깊이감,2,1,Cheddar,D,121,5급지,D,H,H,H,M,L,L,H,H,H,M,L,L
FEMALE,30대,벤처직원,MARREID,전라도,익산시,당도,1,1,Camenbert,C,122,6급지,B,H,L,H,M,M,M,H,L,H,M,L,M
FEMALE,40대,임시직,MARREID,서울시,강남구,당도,1,1,Cheddar,B,123,1급지,B,H,L,H,M,L,M,H,L,H,M,L,M
FEMALE,40대,변호사,SINGLE,부산시,해운대구,깊이감,1,1,Roquefort,C,124,1급지,D,H,L,H,M,M,M,H,H,H,M,L,L
FEMALE,50대,자영업,MARREID,서울시,양천구,깊이감,5,1,Camenbert,C,125,1급지,H,H,L,H,M,M,M,M,H,M,M,H,H
FEMALE,30대,변호사,SINGLE,경상도,포항시 남구,당도,1,1,Ricotta,B,126,2급지,E,H,L,H,M,L,M,H,H,M,M,M,L
FEMALE,40대,회사직원,MARREID,경상도,포항시 북구,당도,1,1,Valencay,D,127,3급지,D,H,H,H,M,L,L,H,H,H,M,L,L
FEMALE,20대,학생,SINGLE,경상도,포항시 북구,깊이감,5,3,Valencay,B,128,3급지,F,H,L,H,M,L,M,M,H,M,M,M,H
MALE,30대,자영업,MARREID,부산시,해운대구,당도,6,3,Ricotta,D,129,1급지,E,H,H,H,M,L,L,H,H,M,M,M,L
FEMALE,40대,교수,MARREID,경기도,포천시,당도,1,1,Cheddar,C,130,2급지,B,H,L,H,M,M,M,H,L,H,M,L,M
FEMALE,40대,회사직원,SINGLE,충청도,홍성군,당도,3,2,Gorgonzola,G,131,5급지,E,L,H,H,H,M,M,H,H,M,M,M,L
FEMALE,40대,자영업,SINGLE,경기도,가평군,깊이감,1,1,Annon,E,132,3급지,G,H,H,M,M,M,L,L,H,H,H,M,M
FEMALE,20대,벤처직원,SINGLE,서울시,강남구,깊이감,2,1,Brie,G,133,1급지,H,L,H,H,H,M,M,M,H,M,M,H,H
FEMALE,40대,임시직,MARREID,경기도,가평군,당도,2,1,Annon,B,134,3급지,D,H,L,H,M,L,M,H,H,H,M,L,L
MALE,40대,벤처직원,MARREID,서울시,강동구,당도,3,1,Annon,A,135,2급지,B,M,H,M,H,H,H,H,L,H,M,L,M
MALE,20대,자영업,MARREID,경상도,포항시 북구,당도,2,1,Brie,E,136,3급지,E,H,H,M,M,M,L,H,H,M,M,M,L
FEMALE,30대,기자,SINGLE,경기도,화성시,당도,5,4,Cheddar,C,137,2급지,D,H,L,H,M,M,M,H,H,H,M,L,L
FEMALE,30대,공무원,MARREID,전라도,광양시,당도,1,1,Valencay,E,138,4급지,B,H,H,M,M,M,L,H,L,H,M,L,M
FEMALE,40대,임시직,MARREID,경상도,포항시 남구,당도,3,1,Brie,H,140,2급지,H,M,H,M,M,H,H,M,H,M,M,H,H
FEMALE,30대,중소기업직원,MARREID,경상도,포항시 남구,깊이감,4,3,Gorgonzola,G,141,2급지,D,L,H,H,H,M,M,H,H,H,M,L,L
FEMALE,40대,중소기업직원,MARREID,서울시,강남구,깊이감,2,1,Roquefort,D,142,1급지,B,H,H,H,M,L,L,H,L,H,M,L,M
FEMALE,50대,기자,MARREID,서울시,강남구,깊이감,3,2,Cheddar,C,143,1급지,C,H,L,H,M,M,M,H,L,H,M,M,M
FEMALE,30대,자영업,SINGLE,전라도,구례군,깊이감,2,1,Cheddar,H,144,6급지,G,M,H,M,M,H,H,L,H,H,H,M,M
FEMALE,20대,자영업,MARREID,전라도,곡성군,깊이감,2,1,Roquefort,E,145,6급지,B,H,H,M,M,M,L,H,L,H,M,L,M
FEMALE,40대,중소기업직원,SINGLE,부산시,사하구,당도,2,1,Cheddar,B,146,2급지,D,H,L,H,M,L,M,H,H,H,M,L,L
FEMALE,40대,중소기업직원,MARREID,경상도,포항시 북구,깊이감,5,1,Camenbert,E,147,3급지,D,H,H,M,M,M,L,H,H,H,M,L,L
MALE,20대,임시직,SINGLE,충청도,청주시,깊이감,2,1,Brie,C,148,1급지,B,H,L,H,M,M,M,H,L,H,M,L,M
FEMALE,20대,벤처직원,SINGLE,전라도,구례군,당도,2,1,Roquefort,G,149,6급지,E,L,H,H,H,M,M,H,H,M,M,M,L
FEMALE,30대,공무원,SINGLE,경기도,화성시,당도,2,1,Roquefort,E,150,2급지,B,H,H,M,M,M,L,H,L,H,M,L,M
MALE,50대,중소기업직원,SINGLE,경상도,함안군,당도,3,2,Valencay,B,151,5급지,H,H,L,H,M,L,M,M,H,M,M,H,H
FEMALE,30대,교수,MARREID,경기도,가평군,당도,2,1,Camenbert,E,152,3급지,D,H,H,M,M,M,L,H,H,H,M,L,L
FEMALE,30대,임시직,MARREID,충청도,홍성군,당도,1,1,Cheddar,H,153,5급지,G,M,H,M,M,H,H,L,H,H,H,M,M
FEMALE,30대,기자,MARREID,경상도,거제시,당도,1,1,Gorgonzola,E,154,5급지,E,H,H,M,M,M,L,H,H,M,M,M,L
FEMALE,20대,벤처직원,MARREID,서울시,강남구,당도,3,2,Cheddar,B,155,1급지,B,H,L,H,M,L,M,H,L,H,M,L,M
FEMALE,20대,자영업,SINGLE,경상도,하동군,당도,3,1,Annon,C,156,5급지,G,H,L,H,M,M,M,L,H,H,H,M,M
MALE,50대,연구원,SINGLE,서울시,강남구,깊이감,3,1,Annon,C,157,1급지,F,H,L,H,M,M,M,M,H,M,M,M,H
FEMALE,30대,벤처직원,MARREID,서울시,마포구,당도,3,2,Brie,E,158,4급지,C,H,H,M,M,M,L,H,L,H,M,M,M
FEMALE,30대,교수,MARREID,충청도,진천군,당도,4,2,Cheddar,B,159,6급지,E,H,L,H,M,L,M,H,H,M,M,M,L
FEMALE,30대,회사직원,MARREID,충청도,청주시,깊이감,2,1,Valencay,E,160,1급지,E,H,H,M,M,M,L,H,H,M,M,M,L
MALE,30대,공무원,SINGLE,전라도,광양시,깊이감,6,4,Brie,H,161,4급지,B,M,H,M,M,H,H,H,L,H,M,L,M
MALE,50대,자영업,MARREID,경상도,함안군,깊이감,3,1,Valencay,A,162,5급지,H,M,H,M,H,H,H,M,H,M,M,H,H
FEMALE,30대,임시직,MARREID,경기도,가평군,당도,2,1,Gorgonzola,G,163,3급지,F,L,H,H,H,M,M,M,H,M,M,M,H
FEMALE,30대,공무원,MARREID,경상도,포항시 북구,깊이감,2,1,Annon,B,164,3급지,D,H,L,H,M,L,M,H,H,H,M,L,L
MALE,50대,벤처직원,MARREID,경기도,안양시,깊이감,1,1,Valencay,A,165,3급지,A,M,H,M,H,H,H,M,H,M,H,H,H
FEMALE,60대 이상,자영업,MARREID,경기도,포천시,깊이감,2,1,Valencay,B,166,2급지,A,H,L,H,M,L,M,M,H,M,H,H,H
FEMALE,40대,벤처직원,MARREID,충청도,청주시,깊이감,3,1,Ricotta,H,167,1급지,B,M,H,M,M,H,H,H,L,H,M,L,M
FEMALE,30대,회사직원,SINGLE,서울시,양천구,당도,2,1,Gorgonzola,C,168,1급지,D,H,L,H,M,M,M,H,H,H,M,L,L
FEMALE,50대,벤처직원,MARREID,서울시,강북구,깊이감,2,1,Valencay,F,169,3급지,E,M,H,M,M,M,H,H,H,M,M,M,L
MALE,50대,공무원,SINGLE,경기도,가평군,깊이감,3,1,Camenbert,B,170,3급지,B,H,L,H,M,L,M,H,L,H,M,L,M
FEMALE,30대,공무원,SINGLE,충청도,청주시,당도,3,1,Annon,E,171,1급지,H,H,H,M,M,M,L,M,H,M,M,H,H
FEMALE,30대,변호사,MARREID,충청도,청주시,깊이감,2,1,Brie,E,172,1급지,C,H,H,M,M,M,L,H,L,H,M,M,M
FEMALE,30대,임시직,MARREID,부산시,해운대구,당도,2,1,Brie,G,173,1급지,G,L,H,H,H,M,M,L,H,H,H,M,M
MALE,20대,기자,MARREID,경기도,포천시,깊이감,2,1,Valencay,F,174,2급지,D,M,H,M,M,M,H,H,H,H,M,L,L
FEMALE,30대,중소기업직원,MARREID,경기도,화성시,깊이감,2,1,Cheddar,E,175,2급지,C,H,H,M,M,M,L,H,L,H,M,M,M
FEMALE,40대,자영업,MARREID,부산시,해운대구,깊이감,2,1,Annon,G,176,1급지,C,L,H,H,H,M,M,H,L,H,M,M,M
FEMALE,20대,학생,MARREID,경기도,포천시,당도,3,1,Annon,B,177,2급지,B,H,L,H,M,L,M,H,L,H,M,L,M
FEMALE,20대,벤처직원,MARREID,충청도,청주시,당도,5,3,Valencay,G,178,1급지,F,L,H,H,H,M,M,M,H,M,M,M,H
MALE,40대,변호사,MARREID,부산시,진구,당도,5,3,Valencay,F,179,5급지,F,M,H,M,M,M,H,M,H,M,M,M,H
FEMALE,30대,임시직,MARREID,서울시,양천구,당도,2,1,Gorgonzola,E,180,1급지,B,H,H,M,M,M,L,H,L,H,M,L,M
FEMALE,30대,연구원,SINGLE,경기도,안양시,깊이감,2,1,Valencay,E,181,3급지,E,H,H,M,M,M,L,H,H,M,M,M,L
MALE,50대,자영업,MARREID,부산시,진구,당도,2,1,Gorgonzola,D,182,5급지,H,H,H,H,M,L,L,M,H,M,M,H,H
MALE,30대,교수,SINGLE,서울시,강동구,당도,1,1,Ricotta,F,183,2급지,G,M,H,M,M,M,H,L,H,H,H,M,M
MALE,50대,의사,SINGLE,서울시,양천구,깊이감,3,2,Brie,A,184,1급지,H,M,H,M,H,H,H,M,H,M,M,H,H
FEMALE,40대,자영업,MARREID,부산시,해운대구,당도,2,1,Ricotta,E,185,1급지,A,H,H,M,M,M,L,M,H,M,H,H,H
FEMALE,30대,임시직,MARREID,부산시,사하구,당도,2,1,Roquefort,H,186,2급지,B,M,H,M,M,H,H,H,L,H,M,L,M
