gender,age,job,marital,province,city,choice,prefer,frequency,wineFrequency,side,choice1,seq,area_grade
FEMALE,40대,연구원,MARREID,경기도,안양시,C,깊이감,1,1,Annon,D,34,3급지
MALE,40대,변호사,SINGLE,충청도,홍성군,G,깊이감,4,2,Roquefort,G,35,5급지
MALE,40대,공무원,MARREID,경상도,포항시 남구,F,깊이감,3,1,Gorgonzola,F,36,2급지
MALE,30대,벤처직원,MARREID,부산시,사하구,G,깊이감,4,1,Brie,A,37,2급지
MALE,50대,공무원,MARREID,충청도,천안시,E,당도,5,2,Cheddar,A,38,4급지
FEMALE,30대,벤처직원,MARREID,경기도,안양시,E,깊이감,3,2,Camenbert,A,39,3급지
FEMALE,40대,공무원,SINGLE,부산시,해운대구,F,당도,2,1,Ricotta,C,40,1급지
MALE,30대,중소기업직원,MARREID,부산시,사하구,A,깊이감,1,1,Brie,C,41,2급지
FEMALE,50대,자영업,SINGLE,서울시,양천구,C,깊이감,3,2,Valencay,H,42,1급지
MALE,30대,임시직,MARREID,충청도,청주시,G,깊이감,2,1,Cheddar,F,43,1급지
MALE,20대,학생,MARREID,충청도,청주시,D,당도,1,1,Annon,E,44,1급지
FEMALE,20대,벤처직원,MARREID,경기도,안양시,B,깊이감,5,1,Gorgonzola,F,45,3급지
FEMALE,40대,임시직,SINGLE,충청도,청주시,A,깊이감,3,1,Brie,G,46,1급지
MALE,30대,교수,MARREID,서울시,강남구,E,당도,1,1,Annon,E,47,1급지
FEMALE,50대,벤처직원,MARREID,부산시,사하구,D,당도,2,1,Roquefort,E,48,2급지
MALE,40대,교수,MARREID,부산시,기장군,F,깊이감,2,1,Ricotta,F,49,1급지
FEMALE,50대,변호사,MARREID,경상도,포항시 남구,C,당도,4,3,Gorgonzola,B,50,2급지
MALE,40대,벤처직원,MARREID,전라도,익산시,D,당도,2,1,Ricotta,A,51,6급지
MALE,30대,벤처직원,MARREID,부산시,사하구,E,당도,5,2,Camenbert,H,52,2급지
MALE,30대,의사,SINGLE,전라도,곡성군,G,깊이감,3,2,Brie,E,53,6급지
FEMALE,20대,중소기업직원,MARREID,충청도,홍성군,C,당도,3,1,Cheddar,D,54,5급지
MALE,20대,중소기업직원,SINGLE,부산시,해운대구,C,깊이감,2,1,Valencay,G,55,1급지
FEMALE,30대,벤처직원,MARREID,경기도,평택시,E,깊이감,2,1,Ricotta,D,56,3급지
MALE,50대,변호사,SINGLE,경상도,포항시 남구,H,당도,1,1,Gorgonzola,F,57,2급지
FEMALE,40대,변호사,MARREID,경기도,화성시,D,당도,2,1,Gorgonzola,C,58,2급지
FEMALE,50대,자영업,MARREID,경기도,포천시,D,당도,2,1,Cheddar,D,59,2급지
MALE,50대,회사직원,SINGLE,서울시,양천구,E,깊이감,2,1,Ricotta,F,60,1급지
FEMALE,40대,벤처직원,SINGLE,충청도,청주시,D,깊이감,1,1,Gorgonzola,E,61,1급지
MALE,40대,회사직원,MARREID,부산시,해운대구,G,깊이감,1,1,Roquefort,E,62,1급지
MALE,40대,자영업,MARREID,경기도,포천시,H,깊이감,1,1,Gorgonzola,D,63,2급지
FEMALE,20대,학생,MARREID,충청도,청주시,B,당도,3,2,Brie,D,64,1급지
FEMALE,40대,교수,MARREID,서울시,강북구,C,당도,1,1,Camenbert,B,65,3급지
MALE,40대,자영업,SINGLE,부산시,사하구,H,당도,5,1,Brie,B,66,2급지
FEMALE,20대,자영업,MARREID,전라도,광양시,E,당도,3,1,Cheddar,A,67,4급지
FEMALE,50대,임시직,SINGLE,서울시,강남구,E,당도,5,3,Roquefort,D,68,1급지
FEMALE,30대,벤처직원,SINGLE,경상도,포항시 남구,B,깊이감,4,2,Valencay,C,69,2급지
MALE,50대,회사직원,MARREID,부산시,해운대구,A,깊이감,1,1,Annon,F,70,1급지
FEMALE,30대,임시직,MARREID,충청도,청주시,F,당도,4,1,Cheddar,D,71,1급지
MALE,30대,자영업,MARREID,충청도,홍성군,D,당도,4,2,Camenbert,D,72,5급지
FEMALE,50대,자영업,MARREID,충청도,천안시,H,깊이감,2,1,Ricotta,F,73,4급지
MALE,40대,벤처직원,MARREID,서울시,마포구,D,깊이감,3,1,Camenbert,F,74,4급지
MALE,30대,벤처직원,MARREID,서울시,강동구,G,당도,3,2,Camenbert,D,75,2급지
FEMALE,30대,중소기업직원,SINGLE,충청도,홍성군,E,깊이감,3,1,Annon,E,76,5급지
FEMALE,30대,자영업,MARREID,부산시,해운대구,D,깊이감,1,1,Cheddar,E,77,1급지
FEMALE,40대,교수,MARREID,경기도,포천시,F,당도,4,3,Gorgonzola,B,78,2급지
FEMALE,40대,공무원,MARREID,전라도,구례군,H,깊이감,2,1,Valencay,D,79,6급지
MALE,50대,회사직원,MARREID,부산시,해운대구,A,깊이감,2,1,Camenbert,H,80,1급지
MALE,50대,연구원,MARREID,부산시,사하구,A,깊이감,2,1,Gorgonzola,G,81,2급지
FEMALE,40대,회사직원,SINGLE,경기도,평택시,D,깊이감,3,2,Gorgonzola,B,82,3급지
FEMALE,40대,자영업,SINGLE,서울시,강동구,B,깊이감,2,1,Annon,E,83,2급지
MALE,50대,중소기업직원,MARREID,서울시,강북구,H,당도,1,1,Camenbert,A,84,3급지
MALE,30대,공무원,SINGLE,경상도,포항시 북구,C,당도,2,1,Valencay,A,85,3급지
FEMALE,20대,임시직,MARREID,경상도,거제시,D,당도,1,1,Valencay,A,86,5급지
FEMALE,40대,변호사,MARREID,부산시,해운대구,C,깊이감,3,2,Brie,B,87,1급지
MALE,30대,중소기업직원,MARREID,충청도,홍성군,E,깊이감,2,1,Annon,D,88,5급지
FEMALE,30대,공무원,SINGLE,부산시,연제구,E,당도,2,1,Ricotta,C,89,4급지
FEMALE,30대,변호사,MARREID,서울시,강북구,B,당도,2,1,Ricotta,B,90,3급지
FEMALE,50대,자영업,SINGLE,경기도,포천시,D,당도,2,1,Ricotta,C,91,2급지
MALE,30대,중소기업직원,MARREID,부산시,기장군,B,깊이감,2,1,Valencay,F,92,1급지
MALE,30대,의사,SINGLE,충청도,홍성군,F,당도,1,1,Cheddar,G,93,5급지
MALE,50대,임시직,MARREID,충청도,청주시,E,당도,1,1,Camenbert,E,94,1급지
FEMALE,20대,학생,SINGLE,전라도,광양시,B,당도,1,1,Gorgonzola,C,95,4급지
MALE,20대,학생,MARREID,경상도,함안군,E,당도,5,1,Gorgonzola,D,96,5급지
MALE,30대,자영업,MARREID,부산시,기장군,D,깊이감,2,1,Camenbert,H,97,1급지
FEMALE,40대,중소기업직원,SINGLE,서울시,강동구,D,깊이감,3,2,Brie,F,98,2급지
FEMALE,30대,임시직,MARREID,경상도,포항시 남구,B,당도,3,2,Roquefort,D,99,2급지
MALE,50대,임시직,SINGLE,부산시,해운대구,B,당도,2,1,Roquefort,C,100,1급지
FEMALE,40대,공무원,MARREID,전라도,광양시,B,깊이감,2,1,Annon,D,101,4급지
MALE,40대,의사,MARREID,경상도,포항시 남구,F,당도,2,1,Annon,H,102,2급지
MALE,30대,변호사,MARREID,충청도,청주시,E,당도,1,1,Annon,E,103,1급지
FEMALE,50대,중소기업직원,MARREID,경기도,포천시,D,깊이감,1,1,Brie,E,104,2급지
MALE,30대,벤처직원,MARREID,부산시,사하구,F,당도,3,1,Camenbert,E,105,2급지
MALE,40대,교수,MARREID,부산시,해운대구,B,당도,1,1,Annon,F,106,1급지
MALE,20대,벤처직원,MARREID,경기도,화성시,B,당도,3,1,Ricotta,A,107,2급지
MALE,30대,의사,SINGLE,충청도,청주시,H,당도,3,2,Valencay,G,108,1급지
FEMALE,20대,공무원,MARREID,서울시,강남구,B,당도,1,1,Brie,C,109,1급지
MALE,30대,의사,MARREID,부산시,해운대구,E,깊이감,1,1,Annon,E,110,1급지
MALE,30대,자영업,MARREID,전라도,곡성군,C,깊이감,4,1,Annon,A,111,6급지
MALE,30대,임시직,MARREID,서울시,양천구,E,깊이감,5,3,Ricotta,H,112,1급지
MALE,40대,의사,SINGLE,충청도,청주시,G,당도,2,1,Camenbert,G,113,1급지
FEMALE,50대,연구원,MARREID,부산시,사하구,B,깊이감,3,1,Valencay,B,114,2급지
MALE,40대,교수,MARREID,충청도,홍성군,F,당도,4,1,Cheddar,C,115,5급지
FEMALE,30대,회사직원,MARREID,부산시,사하구,D,당도,1,1,Camenbert,B,116,2급지
FEMALE,20대,자영업,MARREID,부산시,사하구,H,깊이감,2,1,Annon,D,117,2급지
FEMALE,50대,회사직원,MARREID,서울시,강남구,B,깊이감,1,1,Roquefort,D,118,1급지
FEMALE,20대,벤처직원,MARREID,경기도,화성시,B,당도,4,2,Cheddar,C,119,2급지
FEMALE,40대,자영업,MARREID,부산시,해운대구,A,깊이감,5,1,Valencay,C,120,1급지
MALE,50대,임시직,SINGLE,경상도,함안군,D,깊이감,2,1,Cheddar,D,121,5급지
FEMALE,30대,벤처직원,MARREID,전라도,익산시,C,당도,1,1,Camenbert,B,122,6급지
FEMALE,40대,임시직,MARREID,서울시,강남구,B,당도,1,1,Cheddar,B,123,1급지
FEMALE,40대,변호사,SINGLE,부산시,해운대구,C,깊이감,1,1,Roquefort,D,124,1급지
FEMALE,50대,자영업,MARREID,서울시,양천구,C,깊이감,5,1,Camenbert,H,125,1급지
FEMALE,30대,변호사,SINGLE,경상도,포항시 남구,B,당도,1,1,Ricotta,E,126,2급지
FEMALE,40대,회사직원,MARREID,경상도,포항시 북구,D,당도,1,1,Valencay,D,127,3급지
FEMALE,20대,학생,SINGLE,경상도,포항시 북구,B,깊이감,5,3,Valencay,F,128,3급지
MALE,30대,자영업,MARREID,부산시,해운대구,D,당도,6,3,Ricotta,E,129,1급지
FEMALE,40대,교수,MARREID,경기도,포천시,C,당도,1,1,Cheddar,B,130,2급지
FEMALE,40대,회사직원,SINGLE,충청도,홍성군,G,당도,3,2,Gorgonzola,E,131,5급지
FEMALE,40대,자영업,SINGLE,경기도,가평군,E,깊이감,1,1,Annon,G,132,3급지
FEMALE,20대,벤처직원,SINGLE,서울시,강남구,G,깊이감,2,1,Brie,H,133,1급지
FEMALE,40대,임시직,MARREID,경기도,가평군,B,당도,2,1,Annon,D,134,3급지
MALE,40대,벤처직원,MARREID,서울시,강동구,A,당도,3,1,Annon,B,135,2급지
MALE,20대,자영업,MARREID,경상도,포항시 북구,E,당도,2,1,Brie,E,136,3급지
FEMALE,30대,기자,SINGLE,경기도,화성시,C,당도,5,4,Cheddar,D,137,2급지
FEMALE,30대,공무원,MARREID,전라도,광양시,E,당도,1,1,Valencay,B,138,4급지
FEMALE,40대,임시직,MARREID,경상도,포항시 남구,H,당도,3,1,Brie,H,140,2급지
FEMALE,30대,중소기업직원,MARREID,경상도,포항시 남구,G,깊이감,4,3,Gorgonzola,D,141,2급지
FEMALE,40대,중소기업직원,MARREID,서울시,강남구,D,깊이감,2,1,Roquefort,B,142,1급지
FEMALE,50대,기자,MARREID,서울시,강남구,C,깊이감,3,2,Cheddar,C,143,1급지
FEMALE,30대,자영업,SINGLE,전라도,구례군,H,깊이감,2,1,Cheddar,G,144,6급지
FEMALE,20대,자영업,MARREID,전라도,곡성군,E,깊이감,2,1,Roquefort,B,145,6급지
FEMALE,40대,중소기업직원,SINGLE,부산시,사하구,B,당도,2,1,Cheddar,D,146,2급지
FEMALE,40대,중소기업직원,MARREID,경상도,포항시 북구,E,깊이감,5,1,Camenbert,D,147,3급지
MALE,20대,임시직,SINGLE,충청도,청주시,C,깊이감,2,1,Brie,B,148,1급지
FEMALE,20대,벤처직원,SINGLE,전라도,구례군,G,당도,2,1,Roquefort,E,149,6급지
FEMALE,30대,공무원,SINGLE,경기도,화성시,E,당도,2,1,Roquefort,B,150,2급지
MALE,50대,중소기업직원,SINGLE,경상도,함안군,B,당도,3,2,Valencay,H,151,5급지
FEMALE,30대,교수,MARREID,경기도,가평군,E,당도,2,1,Camenbert,D,152,3급지
FEMALE,30대,임시직,MARREID,충청도,홍성군,H,당도,1,1,Cheddar,G,153,5급지
FEMALE,30대,기자,MARREID,경상도,거제시,E,당도,1,1,Gorgonzola,E,154,5급지
FEMALE,20대,벤처직원,MARREID,서울시,강남구,B,당도,3,2,Cheddar,B,155,1급지
FEMALE,20대,자영업,SINGLE,경상도,하동군,C,당도,3,1,Annon,G,156,5급지
MALE,50대,연구원,SINGLE,서울시,강남구,C,깊이감,3,1,Annon,F,157,1급지
FEMALE,30대,벤처직원,MARREID,서울시,마포구,E,당도,3,2,Brie,C,158,4급지
FEMALE,30대,교수,MARREID,충청도,진천군,B,당도,4,2,Cheddar,E,159,6급지
FEMALE,30대,회사직원,MARREID,충청도,청주시,E,깊이감,2,1,Valencay,E,160,1급지
MALE,30대,공무원,SINGLE,전라도,광양시,H,깊이감,6,4,Brie,B,161,4급지
MALE,50대,자영업,MARREID,경상도,함안군,A,깊이감,3,1,Valencay,H,162,5급지
FEMALE,30대,임시직,MARREID,경기도,가평군,G,당도,2,1,Gorgonzola,F,163,3급지
FEMALE,30대,공무원,MARREID,경상도,포항시 북구,B,깊이감,2,1,Annon,D,164,3급지
MALE,50대,벤처직원,MARREID,경기도,안양시,A,깊이감,1,1,Valencay,A,165,3급지
FEMALE,60대 이상,자영업,MARREID,경기도,포천시,B,깊이감,2,1,Valencay,A,166,2급지
FEMALE,40대,벤처직원,MARREID,충청도,청주시,H,깊이감,3,1,Ricotta,B,167,1급지
FEMALE,30대,회사직원,SINGLE,서울시,양천구,C,당도,2,1,Gorgonzola,D,168,1급지
FEMALE,50대,벤처직원,MARREID,서울시,강북구,F,깊이감,2,1,Valencay,E,169,3급지
MALE,50대,공무원,SINGLE,경기도,가평군,B,깊이감,3,1,Camenbert,B,170,3급지
FEMALE,30대,공무원,SINGLE,충청도,청주시,E,당도,3,1,Annon,H,171,1급지
FEMALE,30대,변호사,MARREID,충청도,청주시,E,깊이감,2,1,Brie,C,172,1급지
FEMALE,30대,임시직,MARREID,부산시,해운대구,G,당도,2,1,Brie,G,173,1급지
MALE,20대,기자,MARREID,경기도,포천시,F,깊이감,2,1,Valencay,D,174,2급지
FEMALE,30대,중소기업직원,MARREID,경기도,화성시,E,깊이감,2,1,Cheddar,C,175,2급지
FEMALE,40대,자영업,MARREID,부산시,해운대구,G,깊이감,2,1,Annon,C,176,1급지
FEMALE,20대,학생,MARREID,경기도,포천시,B,당도,3,1,Annon,B,177,2급지
FEMALE,20대,벤처직원,MARREID,충청도,청주시,G,당도,5,3,Valencay,F,178,1급지
MALE,40대,변호사,MARREID,부산시,진구,F,당도,5,3,Valencay,F,179,5급지
FEMALE,30대,임시직,MARREID,서울시,양천구,E,당도,2,1,Gorgonzola,B,180,1급지
FEMALE,30대,연구원,SINGLE,경기도,안양시,E,깊이감,2,1,Valencay,E,181,3급지
MALE,50대,자영업,MARREID,부산시,진구,D,당도,2,1,Gorgonzola,H,182,5급지
MALE,30대,교수,SINGLE,서울시,강동구,F,당도,1,1,Ricotta,G,183,2급지
MALE,50대,의사,SINGLE,서울시,양천구,A,깊이감,3,2,Brie,H,184,1급지
FEMALE,40대,자영업,MARREID,부산시,해운대구,E,당도,2,1,Ricotta,A,185,1급지
FEMALE,30대,임시직,MARREID,부산시,사하구,H,당도,2,1,Roquefort,B,186,2급지
FEMALE,50대,임시직,MARREID,부산시,진구,D,당도,3,1,Brie,A,187,5급지
MALE,30대,벤처직원,MARREID,서울시,마포구,G,깊이감,2,1,Ricotta,F,188,4급지
FEMALE,30대,의사,MARREID,서울시,양천구,B,깊이감,2,1,Ricotta,E,189,1급지
MALE,30대,변호사,MARREID,서울시,강북구,E,깊이감,2,1,Brie,D,190,3급지
FEMALE,40대,중소기업직원,MARREID,경상도,포항시 남구,D,당도,3,1,Annon,D,191,2급지
FEMALE,20대,자영업,SINGLE,서울시,강동구,A,깊이감,2,1,Brie,E,192,2급지
MALE,40대,벤처직원,SINGLE,충청도,청주시,H,당도,1,1,Ricotta,F,193,1급지
FEMALE,20대,학생,SINGLE,경상도,함안군,E,깊이감,3,2,Camenbert,B,194,5급지
FEMALE,30대,벤처직원,MARREID,경상도,포항시 남구,G,깊이감,4,3,Gorgonzola,E,195,2급지
FEMALE,50대,임시직,MARREID,서울시,강동구,E,당도,3,1,Brie,C,196,2급지
FEMALE,40대,벤처직원,MARREID,부산시,해운대구,D,당도,1,1,Brie,D,197,1급지
MALE,40대,공무원,MARREID,부산시,해운대구,A,당도,1,1,Brie,G,198,1급지
FEMALE,40대,공무원,SINGLE,서울시,강남구,E,깊이감,3,2,Ricotta,B,199,1급지
FEMALE,50대,변호사,SINGLE,경상도,하동군,C,당도,2,1,Ricotta,H,200,5급지
MALE,50대,중소기업직원,MARREID,경기도,포천시,D,당도,2,1,Roquefort,A,201,2급지
MALE,40대,의사,MARREID,경기도,화성시,F,깊이감,6,1,Cheddar,F,202,2급지
FEMALE,40대,임시직,MARREID,부산시,기장군,E,깊이감,3,1,Gorgonzola,B,203,1급지
FEMALE,30대,자영업,MARREID,경기도,포천시,D,깊이감,2,1,Brie,H,204,2급지
FEMALE,50대,회사직원,MARREID,충청도,청주시,H,깊이감,2,1,Gorgonzola,E,205,1급지
FEMALE,40대,임시직,SINGLE,경상도,포항시 남구,A,깊이감,3,2,Brie,B,206,2급지
FEMALE,30대,중소기업직원,MARREID,경기도,포천시,B,당도,1,1,Annon,D,207,2급지
MALE,50대,벤처직원,MARREID,부산시,해운대구,A,당도,3,1,Gorgonzola,H,208,1급지
FEMALE,40대,연구원,MARREID,충청도,청주시,C,당도,4,2,Roquefort,B,209,1급지
MALE,50대,임시직,MARREID,서울시,강남구,B,당도,3,1,Valencay,C,210,1급지
MALE,50대,회사직원,MARREID,서울시,강동구,H,당도,2,1,Annon,B,211,2급지
FEMALE,50대,중소기업직원,MARREID,경상도,포항시 남구,D,깊이감,2,1,Cheddar,H,212,2급지
FEMALE,50대,벤처직원,SINGLE,충청도,진천군,C,당도,2,1,Valencay,E,213,6급지
FEMALE,30대,자영업,MARREID,부산시,진구,F,당도,4,1,Valencay,G,214,5급지
FEMALE,40대,임시직,SINGLE,서울시,양천구,H,당도,3,2,Cheddar,G,215,1급지
FEMALE,30대,교수,MARREID,서울시,강동구,E,깊이감,6,2,Brie,C,216,2급지
FEMALE,50대,임시직,MARREID,충청도,청주시,B,당도,3,1,Gorgonzola,D,217,1급지
FEMALE,40대,임시직,MARREID,부산시,기장군,A,깊이감,3,1,Camenbert,H,218,1급지
FEMALE,30대,중소기업직원,SINGLE,서울시,양천구,C,당도,2,1,Camenbert,C,219,1급지
FEMALE,30대,기자,SINGLE,부산시,기장군,E,당도,1,1,Camenbert,D,220,1급지
FEMALE,40대,중소기업직원,MARREID,서울시,양천구,D,깊이감,2,1,Annon,B,221,1급지
FEMALE,60대 이상,벤처직원,MARREID,서울시,양천구,B,깊이감,1,1,Annon,E,222,1급지
MALE,30대,벤처직원,SINGLE,부산시,사하구,H,당도,1,1,Cheddar,H,223,2급지
FEMALE,30대,중소기업직원,MARREID,서울시,강동구,E,당도,3,2,Roquefort,D,224,2급지
FEMALE,40대,변호사,MARREID,충청도,천안시,C,당도,2,1,Cheddar,B,225,4급지
FEMALE,40대,회사직원,SINGLE,경기도,화성시,H,당도,1,1,Brie,E,226,2급지
FEMALE,30대,변호사,MARREID,경상도,포항시 남구,E,깊이감,2,1,Annon,D,227,2급지
MALE,40대,임시직,MARREID,서울시,강동구,C,당도,1,1,Annon,A,228,2급지
FEMALE,40대,임시직,MARREID,충청도,청주시,H,깊이감,5,3,Ricotta,H,229,1급지
MALE,50대,임시직,MARREID,서울시,강동구,C,당도,2,1,Annon,C,230,2급지
FEMALE,40대,기자,MARREID,경기도,포천시,H,깊이감,3,1,Ricotta,E,231,2급지
FEMALE,20대,공무원,SINGLE,경상도,하동군,C,당도,1,1,Roquefort,H,232,5급지
MALE,30대,교수,MARREID,서울시,양천구,A,깊이감,3,2,Valencay,E,233,1급지
FEMALE,30대,회사직원,MARREID,경상도,포항시 남구,E,깊이감,2,1,Valencay,E,234,2급지
FEMALE,50대,임시직,MARREID,부산시,기장군,D,당도,3,1,Cheddar,C,235,1급지
FEMALE,40대,공무원,MARREID,부산시,진구,B,당도,4,3,Brie,E,236,5급지
FEMALE,30대,연구원,MARREID,서울시,강동구,E,깊이감,1,1,Gorgonzola,E,237,2급지
FEMALE,40대,임시직,MARREID,서울시,강남구,E,깊이감,2,1,Valencay,G,238,1급지
FEMALE,50대,임시직,MARREID,부산시,기장군,H,당도,1,1,Roquefort,F,239,1급지
FEMALE,40대,벤처직원,MARREID,경기도,평택시,D,당도,3,1,Ricotta,B,240,3급지
MALE,20대,공무원,SINGLE,부산시,해운대구,F,당도,2,1,Annon,B,241,1급지
FEMALE,50대,벤처직원,SINGLE,경상도,포항시 남구,H,깊이감,2,1,Valencay,E,242,2급지
FEMALE,20대,학생,SINGLE,충청도,청주시,B,깊이감,4,3,Roquefort,C,243,1급지
MALE,20대,자영업,MARREID,서울시,강남구,D,깊이감,2,1,Gorgonzola,B,244,1급지
FEMALE,30대,공무원,MARREID,서울시,강남구,E,깊이감,2,1,Gorgonzola,C,245,1급지
MALE,30대,자영업,SINGLE,서울시,마포구,A,당도,1,1,Ricotta,E,246,4급지
FEMALE,20대,자영업,MARREID,충청도,청주시,G,당도,3,2,Ricotta,C,247,1급지
MALE,30대,벤처직원,SINGLE,경기도,화성시,H,깊이감,2,1,Camenbert,A,248,2급지
FEMALE,50대,벤처직원,SINGLE,경상도,포항시 남구,D,당도,3,2,Gorgonzola,C,249,2급지
FEMALE,50대,연구원,SINGLE,경기도,화성시,C,당도,2,1,Ricotta,C,250,2급지
MALE,50대,중소기업직원,SINGLE,서울시,강남구,F,당도,3,2,Brie,F,251,1급지
FEMALE,20대,벤처직원,MARREID,서울시,강동구,C,당도,1,1,Annon,E,252,2급지
FEMALE,40대,벤처직원,MARREID,서울시,강남구,D,당도,4,1,Annon,E,253,1급지
MALE,40대,연구원,SINGLE,부산시,해운대구,C,당도,1,1,Roquefort,E,254,1급지
MALE,30대,교수,MARREID,경상도,함안군,E,당도,4,2,Roquefort,D,255,5급지
FEMALE,50대,공무원,MARREID,부산시,해운대구,D,당도,3,2,Ricotta,D,256,1급지
MALE,40대,벤처직원,MARREID,서울시,강동구,F,깊이감,3,1,Gorgonzola,H,257,2급지
FEMALE,40대,자영업,MARREID,서울시,강남구,G,깊이감,5,3,Roquefort,E,258,1급지
FEMALE,50대,벤처직원,MARREID,부산시,사하구,D,깊이감,2,1,Valencay,E,259,2급지
MALE,30대,중소기업직원,MARREID,충청도,천안시,E,깊이감,3,2,Gorgonzola,F,260,4급지
MALE,50대,임시직,SINGLE,부산시,해운대구,G,당도,1,1,Ricotta,A,261,1급지
MALE,20대,학생,SINGLE,서울시,양천구,D,깊이감,1,1,Camenbert,E,262,1급지
MALE,30대,회사직원,MARREID,경상도,함안군,E,당도,2,1,Ricotta,F,263,5급지
FEMALE,30대,기자,MARREID,경기도,가평군,D,당도,2,1,Valencay,E,264,3급지
FEMALE,20대,벤처직원,MARREID,전라도,구례군,C,당도,2,1,Valencay,C,265,6급지
FEMALE,50대,중소기업직원,SINGLE,경상도,포항시 북구,D,깊이감,3,1,Gorgonzola,D,266,3급지
FEMALE,40대,중소기업직원,MARREID,경기도,포천시,E,깊이감,1,1,Cheddar,A,267,2급지
MALE,50대,공무원,MARREID,충청도,진천군,B,당도,2,1,Cheddar,F,268,6급지
FEMALE,40대,자영업,SINGLE,경상도,포항시 북구,D,당도,3,2,Annon,C,269,3급지
FEMALE,30대,변호사,MARREID,경기도,포천시,E,깊이감,1,1,Valencay,E,270,2급지
MALE,40대,임시직,SINGLE,경상도,하동군,G,깊이감,4,2,Cheddar,D,271,5급지
FEMALE,30대,변호사,MARREID,충청도,청주시,B,당도,4,3,Gorgonzola,C,272,1급지
MALE,30대,회사직원,SINGLE,부산시,기장군,H,깊이감,2,1,Gorgonzola,A,273,1급지
FEMALE,30대,중소기업직원,MARREID,충청도,청주시,E,깊이감,2,1,Roquefort,C,274,1급지
FEMALE,30대,자영업,SINGLE,부산시,해운대구,H,깊이감,2,1,Camenbert,G,275,1급지
MALE,20대,학생,MARREID,서울시,양천구,C,당도,3,1,Annon,G,276,1급지
FEMALE,20대,공무원,MARREID,경상도,포항시 남구,B,깊이감,5,1,Brie,B,277,2급지
FEMALE,40대,공무원,MARREID,부산시,사하구,D,깊이감,3,2,Valencay,A,278,2급지
